chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	kernel_id	iteration	score	pvalue	qvalue
chr1	39000	40000	chr1	69000	70000	39	69	0	0	0.6333058610	0.0000000000	0.0000000000
chr1	80000	81000	chr1	107000	108000	80	107	0	0	0.5491823870	0.0000000000	0.0000000000
chr2	40000	41000	chr2	60000	61000	167	187	0	0	0.6389327661	0.0000000000	0.0000000000
chr2	45000	46000	chr2	178000	179000	172	305	0	0	0.5717217084	0.0000000000	0.0000000000
chr2	69000	70000	chr2	197000	198000	196	324	0	0	0.5959967235	0.0000000000	0.0000000000
chr2	75000	76000	chr2	109000	110000	202	236	0	0	0.5236750351	0.0000000000	0.0000000000
chr2	83000	84000	chr2	196000	197000	210	323	0	0	0.5931731446	0.0000000000	0.0000000000
chr2	112000	113000	chr2	179000	180000	239	306	0	0	0.5429295219	0.0000000000	0.0000000000
chr2	130000	131000	chr2	159000	160000	257	286	0	0	0.5334781950	0.0000000000	0.0000000000
chr2	158000	159000	chr2	183000	184000	285	310	0	0	0.5923792552	0.0000000000	0.0000000000
chr2	158000	159000	chr2	206000	207000	285	333	0	0	0.5242048066	0.0000000000	0.0000000000
chr2	182000	183000	chr2	206000	207000	309	333	0	0	0.5901845993	0.0000000000	0.0000000000
chr2	206000	207000	chr2	229000	230000	333	356	0	0	0.5656185958	0.0000000000	0.0000000000
chr2	215000	216000	chr2	242000	243000	342	369	0	0	0.5063397956	0.0000000000	0.0000000000
chr2	264000	265000	chr2	295000	296000	391	422	0	0	0.6901064000	0.0000000000	0.0000000000
chr2	295000	296000	chr2	327000	328000	422	454	0	0	0.5839288948	0.0000000000	0.0000000000
chr2	358000	359000	chr2	388000	389000	485	515	0	0	0.5377117707	0.0000000000	0.0000000000
chr2	389000	390000	chr2	414000	415000	516	541	0	0	0.5716846695	0.0000000000	0.0000000000
chr3	1000	2000	chr3	27000	28000	550	576	0	0	0.5183487722	0.0000000000	0.0000000000
chr3	12000	13000	chr3	86000	87000	561	635	0	0	0.5338556200	0.0000000000	0.0000000000
chr3	40000	41000	chr3	86000	87000	589	635	0	0	0.5322262191	0.0000000000	0.0000000000
chr3	43000	44000	chr3	75000	76000	592	624	0	0	0.6012166697	0.0000000000	0.0000000000
