chrom1	start1	end1	chrom2	start2	end2	score
chr1	8000	9000	chr1	30000	31000	0.0
chr1	25000	26000	chr1	68000	69000	0.3558312905527408
chr1	39000	40000	chr1	68000	69000	0.7049076163879597
chr2	31000	32000	chr2	198000	199000	0.3709615276452592
chr2	40000	41000	chr2	60000	61000	0.6947542817031035
chr2	40000	41000	chr2	85000	86000	0.3286056443233343
chr2	45000	46000	chr2	196000	197000	0.3436547749963754
chr2	60000	61000	chr2	87000	88000	0.4831556645630678
chr2	69000	70000	chr2	198000	199000	0.53299328214559
chr2	71000	72000	chr2	146000	147000	0.3401350431714585
chr2	76000	77000	chr2	107000	108000	0.0
chr2	84000	85000	chr2	195000	196000	0.5675791354622716
chr2	84000	85000	chr2	146000	147000	0.5558557648847503
chr2	83000	84000	chr2	213000	214000	0.0
chr2	130000	131000	chr2	194000	195000	0.35124584542924087
chr2	184000	185000	chr2	205000	206000	0.5273327314879417
chr2	198000	199000	chr2	259000	260000	0.33348926379609
chr2	204000	205000	chr2	240000	241000	0.5825240416255146
chr2	205000	206000	chr2	229000	230000	0.0
chr2	215000	216000	chr2	240000	241000	0.0
chr2	214000	215000	chr2	258000	259000	0.0
chr2	249000	250000	chr2	290000	291000	0.4445648523265418
chr2	249000	250000	chr2	321000	322000	0.0
chr2	264000	265000	chr2	294000	295000	0.6949759052448042
chr2	265000	266000	chr2	314000	315000	0.0
chr2	314000	315000	chr2	352000	353000	0.0
chr2	348000	349000	chr2	386000	387000	0.37681250219225987
chr2	358000	359000	chr2	386000	387000	0.0
chr3	16000	17000	chr3	47000	48000	0.0
chr3	121000	122000	chr3	155000	156000	0.5008225245152202
