chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	kernel_id	iteration	score	pvalue	qvalue
chr1	1000	2000	chr1	34000	35000	1	34	0	0	0.4897931412	0.0000000001	0.0000000001
chr1	9000	10000	chr1	32000	33000	9	32	0	0	0.4382532556	0.0000000000	0.0000000000
chr1	25000	26000	chr1	70000	71000	25	70	0	0	0.3862687483	0.0000000000	0.0000000000
chr1	39000	40000	chr1	69000	70000	39	69	0	0	0.6333058610	0.0000000000	0.0000000000
chr1	40000	41000	chr1	50000	51000	40	50	0	0	0.5168263203	0.0000000000	0.0000000000
chr1	63000	64000	chr1	73000	74000	63	73	0	0	0.5693716732	0.0000000000	0.0000000000
chr1	80000	81000	chr1	107000	108000	80	107	0	0	0.5491823870	0.0000000000	0.0000000000
chr1	80000	81000	chr1	100000	101000	80	100	0	0	0.4107146429	0.0000000015	0.0000000017
chr2	24000	25000	chr2	40000	41000	151	167	0	0	0.5747611492	0.0000000000	0.0000000000
chr2	40000	41000	chr2	60000	61000	167	187	0	0	0.6389327661	0.0000000000	0.0000000000
chr2	59000	60000	chr2	76000	77000	186	203	0	0	0.4056659238	0.0000000000	0.0000000000
chr2	75000	76000	chr2	109000	110000	202	236	0	0	0.5236750351	0.0000000000	0.0000000000
chr2	75000	76000	chr2	88000	89000	202	215	0	0	0.3839246597	0.0000000000	0.0000000000
chr2	88000	89000	chr2	107000	108000	215	234	0	0	0.7458566626	0.0000000000	0.0000000000
chr2	106000	107000	chr2	117000	118000	233	244	0	0	0.4317103017	0.0000000000	0.0000000000
chr2	114000	115000	chr2	141000	142000	241	268	0	0	0.3535903571	0.0000000128	0.0000000130
chr2	120000	121000	chr2	128000	129000	247	255	0	0	0.4601917719	0.0000000000	0.0000000000
chr2	125000	126000	chr2	139000	140000	252	266	0	0	0.5851351238	0.0000000000	0.0000000000
chr2	130000	131000	chr2	159000	160000	257	286	0	0	0.5334781950	0.0000000000	0.0000000000
chr2	140000	141000	chr2	157000	158000	267	284	0	0	0.5859374635	0.0000000000	0.0000000000
chr2	157000	158000	chr2	194000	195000	284	321	0	0	0.4162390065	0.0000000018	0.0000000021
chr2	158000	159000	chr2	183000	184000	285	310	0	0	0.5923792552	0.0000000000	0.0000000000
