chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	kernel_id	iteration	score	pvalue	qvalue
chr1	5000	6000	chr1	5000	6000	5	5	0	0	0.1303601800	0.2323079763	0.2457103595
chr1	12000	13000	chr1	12000	13000	12	12	0	0	0.2032874415	0.0313684904	0.0410777851
chr1	19000	20000	chr1	19000	20000	19	19	0	0	0.3769387758	0.0000250099	0.0000917028
chr1	29000	30000	chr1	29000	30000	29	29	0	0	0.0914267470	0.3213434916	0.3213434916
chr1	44000	45000	chr1	44000	45000	44	44	0	0	0.5623845607	0.0000000000	0.0000000001
chr1	56000	57000	chr1	56000	57000	56	56	0	0	0.2653420544	0.0032771670	0.0064372922
chr1	69000	70000	chr1	69000	70000	69	69	0	0	0.3418068966	0.0001170561	0.0003388466
chr1	93000	94000	chr1	93000	94000	93	93	0	0	0.2967303275	0.0009358191	0.0021445854
chr2	28000	29000	chr2	28000	29000	155	155	0	0	0.2560983300	0.0046086176	0.0087404817
chr2	34000	35000	chr2	34000	35000	161	161	0	0	0.1564265905	0.0880044903	0.1029839780
chr2	43000	44000	chr2	43000	44000	170	170	0	0	0.2320378150	0.0105751903	0.0153061964
chr2	53000	54000	chr2	53000	54000	180	180	0	0	0.2361632965	0.0092238841	0.0140920452
chr2	65000	66000	chr2	65000	66000	192	192	0	0	0.3528870387	0.0000664904	0.0002031650
chr2	81000	82000	chr2	81000	82000	208	208	0	0	0.4330134166	0.0000005314	0.0000032477
chr2	93000	94000	chr2	93000	94000	220	220	0	0	0.2840008638	0.0015843525	0.0033515149
chr2	101000	102000	chr2	101000	102000	228	228	0	0	0.2509731575	0.0055381389	0.0098257304
chr2	112000	113000	chr2	112000	113000	239	239	0	0	0.2145687005	0.0210756846	0.0297221193
chr2	120000	121000	chr2	120000	121000	247	247	0	0	0.2511283873	0.0059249079	0.0100138235
chr2	126000	127000	chr2	126000	127000	253	253	0	0	0.1502821681	0.1014308148	0.1138509146
chr2	134000	135000	chr2	134000	135000	261	261	0	0	0.6157096942	0.0000000000	0.0000000000
chr2	144000	145000	chr2	144000	145000	271	271	0	0	0.1972635626	0.0328285349	0.0419899865
chr2	181000	182000	chr2	181000	182000	308	308	0	0	0.1677046630	0.0744678864	0.0890376902
chr2	189000	190000	chr2	189000	190000	316	316	0	0	0.3841321403	0.0000118874	0.0000544840
chr2	200000	201000	chr2	200000	201000	327	327	0	0	0.2448774412	0.0068574410	0.0110929193
chr2	210000	211000	chr2	210000	211000	337	337	0	0	0.3078190438	0.0006819232	0.0016306859
chr2	222000	223000	chr2	222000	223000	349	349	0	0	0.1850531948	0.0456238977	0.0557625416
chr2	235000	236000	chr2	235000	236000	362	362	0	0	0.4866630915	0.0000000089	0.0000000976
chr2	243000	244000	chr2	243000	244000	370	370	0	0	0.1978788114	0.0300828202	0.0403550027
chr2	253000	254000	chr2	253000	254000	380	380	0	0	0.4928684501	0.0000000052	0.0000000721
chr2	269000	270000	chr2	269000	270000	396	396	0	0	0.4405857229	0.0000003124	0.0000021477
chr2	284000	285000	chr2	284000	285000	411	411	0	0	0.3818311575	0.0000135843	0.0000574719
chr2	298000	299000	chr2	298000	299000	425	425	0	0	0.0927289149	0.3144606169	0.3202839616
chr2	307000	308000	chr2	307000	308000	434	434	0	0	0.2556813680	0.0050459713	0.0092509474
chr2	319000	320000	chr2	319000	320000	446	446	0	0	0.3418054951	0.0001753457	0.0004592387
chr2	333000	334000	chr2	333000	334000	460	460	0	0	0.1536358174	0.1012328928	0.1138509146
chr2	343000	344000	chr2	343000	344000	470	470	0	0	0.2336484416	0.0100283067	0.0149069424
chr2	353000	354000	chr2	353000	354000	480	480	0	0	0.3637398524	0.0000373657	0.0001284446
chr2	373000	374000	chr2	373000	374000	500	500	0	0	0.4460254525	0.0000002114	0.0000016608
chr2	382000	383000	chr2	382000	383000	509	509	0	0	0.2693473488	0.0028161274	0.0057365558
chr2	388000	389000	chr2	388000	389000	515	515	0	0	0.3093536705	0.0005411872	0.0013529681
chr2	399000	400000	chr2	399000	400000	526	526	0	0	0.3614082927	0.0000423710	0.0001370825
chr2	409000	410000	chr2	409000	410000	536	536	0	0	0.1276475761	0.1687052461	0.1819370301
chr3	11000	12000	chr3	11000	12000	560	560	0	0	0.4516537332	0.0000001788	0.0000016393
chr3	22000	23000	chr3	22000	23000	571	571	0	0	0.5647858442	0.0000000000	0.0000000001
chr3	35000	36000	chr3	35000	36000	584	584	0	0	0.1048033737	0.2552040662	0.2648344083
chr3	52000	53000	chr3	52000	53000	601	601	0	0	0.2460269948	0.0073213632	0.0115049993
chr3	61000	62000	chr3	61000	62000	610	610	0	0	0.4257436845	0.0000016643	0.0000083216
chr3	69000	70000	chr3	69000	70000	618	618	0	0	0.1502152001	0.1107831773	0.1218614951
chr3	76000	77000	chr3	76000	77000	625	625	0	0	0.1963431598	0.0387057067	0.0483821334
chr3	99000	100000	chr3	99000	100000	648	648	0	0	0.3802298126	0.0000176241	0.0000692376
chr3	111000	112000	chr3	111000	112000	660	660	0	0	0.3388286866	0.0001655262	0.0004551970
chr3	121000	122000	chr3	121000	122000	670	670	0	0	0.2851007231	0.0015154050	0.0033338911
chr3	134000	135000	chr3	134000	135000	683	683	0	0	0.2000677966	0.0282604546	0.0388581251
chr3	149000	150000	chr3	149000	150000	698	698	0	0	0.4273745068	0.0000007822	0.0000043023
chr3	160000	161000	chr3	160000	161000	709	709	0	0	0.2507281854	0.0060082941	0.0100138235
