chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	score	pvalue	qvalue
chr1	16000	18000	chr1	26000	28000	8	13	0.1369535126	0.06671791949585475	0.26421743887146815
chr1	16000	18000	chr1	50000	52000	8	25			
chr1	18000	20000	chr1	50000	52000	9	25			
chr1	26000	28000	chr1	50000	52000	13	25			
chr1	50000	52000	chr1	80000	82000	25	40			
chr1	50000	52000	chr1	94000	96000	25	47			
chr1	80000	82000	chr1	94000	96000	40	47	0.1023542240	0.11081315471318928	0.3564933352732768
chr1	80000	82000	chr1	126000	128000	40	63			
chr1	94000	96000	chr1	126000	128000	47	63			
chr1	94000	96000	chr1	134000	136000	47	67			
chr1	126000	128000	chr1	164000	166000	63	82			
chr1	134000	136000	chr1	164000	166000	67	82			
chr1	164000	166000	chr1	204000	206000	82	102			
chr1	164000	166000	chr1	208000	210000	82	104			
chr1	164000	166000	chr1	210000	212000	82	105			
chr1	204000	206000	chr1	226000	228000	102	113			
chr1	204000	206000	chr1	228000	230000	102	114			
chr1	208000	210000	chr1	226000	228000	104	113			
chr1	208000	210000	chr1	228000	230000	104	114			
chr1	210000	212000	chr1	226000	228000	105	113			
chr1	210000	212000	chr1	228000	230000	105	114			
chr10	18000	20000	chr10	32000	34000	124	131			
chr10	18000	20000	chr10	38000	40000	124	134			
chr10	18000	20000	chr10	40000	42000	124	135			
chr10	22000	24000	chr10	32000	34000	126	131			
chr10	22000	24000	chr10	38000	40000	126	134			
chr10	22000	24000	chr10	40000	42000	126	135			
chr10	24000	26000	chr10	38000	40000	127	134			
chr10	24000	26000	chr10	40000	42000	127	135	-0.0885844713	0.27991563900244787	0.5945831711109223
chr10	38000	40000	chr10	86000	88000	134	158			
chr10	40000	42000	chr10	86000	88000	135	158			
chr10	86000	88000	chr10	120000	122000	158	175			
chr10	120000	122000	chr10	148000	150000	175	189			
chr10	120000	122000	chr10	162000	164000	175	196			
chr10	120000	122000	chr10	164000	166000	175	197			
chr10	148000	150000	chr10	162000	164000	189	196	-0.0900731382	0.16088203468619255	0.43390598024970656
chr10	148000	150000	chr10	164000	166000	189	197	-0.1401095515	0.02574772022198095	0.14881957938771523
chr10	162000	164000	chr10	202000	204000	196	216			
chr10	162000	164000	chr10	208000	210000	196	219			
chr10	164000	166000	chr10	202000	204000	197	216			
chr10	164000	166000	chr10	208000	210000	197	219			
chr10	202000	204000	chr10	250000	252000	216	240			
chr10	208000	210000	chr10	250000	252000	219	240			
chr10	250000	252000	chr10	260000	262000	240	245	0.0598894594	0.3738050311922423	0.6897037589051116
chr10	250000	252000	chr10	282000	284000	240	256			
chr10	250000	252000	chr10	298000	300000	240	264			
chr10	250000	252000	chr10	300000	302000	240	265			
chr10	260000	262000	chr10	282000	284000	245	256	0.0764247288	0.2074645809362534	0.5059548243322883
chr10	260000	262000	chr10	298000	300000	245	264			
chr10	260000	262000	chr10	300000	302000	245	265			
chr10	260000	262000	chr10	306000	308000	245	268			
chr10	260000	262000	chr10	308000	310000	245	269			
chr10	282000	284000	chr10	298000	300000	256	264	-0.1531186652	0.014678730491852953	0.10433427239717359
chr10	282000	284000	chr10	300000	302000	256	265	-0.1538027663	0.012767154699841032	0.0967476428811483
chr10	282000	284000	chr10	306000	308000	256	268			
chr10	282000	284000	chr10	308000	310000	256	269			
chr10	282000	284000	chr10	324000	326000	256	277			
chr10	282000	284000	chr10	326000	328000	256	278			
chr10	298000	300000	chr10	308000	310000	264	269	0.2342228965	0.0006731699236583338	0.012570469046369047
chr10	298000	300000	chr10	324000	326000	264	277	0.2227247879	0.0002391962506236449	0.005952724873474799
chr10	298000	300000	chr10	326000	328000	264	278	0.1505222350	0.013370694152533832	0.09959802787091528
chr10	298000	300000	chr10	346000	348000	264	288			
chr10	300000	302000	chr10	324000	326000	265	277	0.2254769266	0.00022236731332760747	0.005597522025143222
chr10	300000	302000	chr10	326000	328000	265	278	0.1360899033	0.026365478264392853	0.14997505817927362
chr10	300000	302000	chr10	346000	348000	265	288			
chr10	306000	308000	chr10	324000	326000	268	277	-0.0576857170	0.37906562481929873	0.6924868633988405
chr10	306000	308000	chr10	326000	328000	268	278	-0.0636484332	0.3254847089913666	0.6496519602526233
chr10	306000	308000	chr10	346000	348000	268	288			
chr10	308000	310000	chr10	324000	326000	269	277	-0.1114972588	0.09306602950753151	0.321589199844052
chr10	308000	310000	chr10	326000	328000	269	278	-0.1091277545	0.09515102959493388	0.32610446762582973
chr10	308000	310000	chr10	346000	348000	269	288			
chr10	324000	326000	chr10	346000	348000	277	288	0.2738729886	7.494517897143497e-06	0.000363281573409196
chr10	324000	326000	chr10	366000	368000	277	298			
chr10	324000	326000	chr10	368000	370000	277	299			
chr10	326000	328000	chr10	346000	348000	278	288	0.1934843890	0.002029401781505182	0.02614347000880205
chr10	326000	328000	chr10	366000	368000	278	298			
chr10	326000	328000	chr10	368000	370000	278	299			
chr10	346000	348000	chr10	366000	368000	288	298	-0.2023122408	0.0008393697843441542	0.013996278987069687
chr10	346000	348000	chr10	368000	370000	288	299	-0.1615458188	0.007299053595648526	0.06632749947912976
chr10	346000	348000	chr10	386000	388000	288	308			
chr10	346000	348000	chr10	394000	396000	288	312			
chr10	346000	348000	chr10	396000	398000	288	313			
chr10	366000	368000	chr10	386000	388000	298	308			
chr10	366000	368000	chr10	394000	396000	298	312			
chr10	366000	368000	chr10	396000	398000	298	313			
chr10	366000	368000	chr10	408000	410000	298	319			
chr10	366000	368000	chr10	410000	412000	298	320			
chr10	366000	368000	chr10	416000	418000	298	323			
chr10	368000	370000	chr10	386000	388000	299	308			
chr10	368000	370000	chr10	394000	396000	299	312			
chr10	368000	370000	chr10	396000	398000	299	313			
chr10	368000	370000	chr10	408000	410000	299	319			
chr10	368000	370000	chr10	410000	412000	299	320			
chr10	368000	370000	chr10	416000	418000	299	323			
