chrom1	start1	end1	chrom2	start2	end2	score
chr1	16000	18000	chr1	50000	52000	0.21481897054865007
chr1	18000	20000	chr1	50000	52000	0.19866433855019913
chr1	26000	28000	chr1	50000	52000	0.06701176005988131
chr1	50000	52000	chr1	80000	82000	0.20022068531205112
chr1	50000	52000	chr1	94000	96000	0.0835861903602331
chr1	80000	82000	chr1	94000	96000	0.4274554999952228
chr1	80000	82000	chr1	126000	128000	0.45905555922434355
chr1	94000	96000	chr1	126000	128000	0.24336264162607188
chr1	94000	96000	chr1	134000	136000	0.3549474202816899
chr1	126000	128000	chr1	164000	166000	-0.36399653413153343
chr1	134000	136000	chr1	164000	166000	-0.27493240033586475
chr1	164000	166000	chr1	204000	206000	0.06562442558987824
chr1	164000	166000	chr1	208000	210000	0.04505167682556914
chr1	164000	166000	chr1	210000	212000	-0.011126367652282391
chr1	204000	206000	chr1	226000	228000	
chr1	204000	206000	chr1	228000	230000	
chr1	208000	210000	chr1	226000	228000	
chr1	208000	210000	chr1	228000	230000	
chr1	210000	212000	chr1	226000	228000	
chr1	210000	212000	chr1	228000	230000	
chr2	8000	10000	chr2	34000	36000	
chr2	8000	10000	chr2	46000	48000	
chr2	8000	10000	chr2	50000	52000	
chr2	34000	36000	chr2	46000	48000	-0.2540386894696103
chr2	34000	36000	chr2	50000	52000	-0.44030662246251556
chr2	34000	36000	chr2	66000	68000	-0.26070973157098054
chr2	34000	36000	chr2	78000	80000	-0.28245452409604227
chr2	34000	36000	chr2	80000	82000	-0.2599082684825128
chr2	46000	48000	chr2	66000	68000	0.2507266521585947
chr2	46000	48000	chr2	78000	80000	0.20978330594309536
chr2	46000	48000	chr2	80000	82000	0.2113607100508222
chr2	46000	48000	chr2	92000	94000	0.07281143785323962
chr2	50000	52000	chr2	66000	68000	0.39608229067336587
chr2	50000	52000	chr2	78000	80000	0.38080290614182966
chr2	50000	52000	chr2	80000	82000	0.3431661905330272
chr2	50000	52000	chr2	92000	94000	0.015632653389209716
chr2	66000	68000	chr2	78000	80000	0.2326677238584092
chr2	66000	68000	chr2	80000	82000	0.1730157111373286
chr2	66000	68000	chr2	92000	94000	-0.26587164994361695
chr2	66000	68000	chr2	104000	106000	-0.14495052732637906
chr2	78000	80000	chr2	92000	94000	-0.018558693799116892
chr2	78000	80000	chr2	104000	106000	0.09796575734582949
chr2	78000	80000	chr2	118000	120000	0.24347615659172842
chr2	80000	82000	chr2	92000	94000	-0.03863483101055237
chr2	80000	82000	chr2	104000	106000	0.0789643103223535
chr2	80000	82000	chr2	118000	120000	0.23752866674933396
chr2	92000	94000	chr2	104000	106000	0.04702608391836431
chr2	92000	94000	chr2	118000	120000	0.19066872636172588
chr2	104000	106000	chr2	118000	120000	0.07052603071107691
