chrom1	start1	end1	chrom2	start2	end2	score
chr1	16000	18000	chr1	50000	52000	-0.044772692609217846
chr1	18000	20000	chr1	50000	52000	-0.05818073540235324
chr1	26000	28000	chr1	50000	52000	-0.1955306674170834
chr1	50000	52000	chr1	80000	82000	-0.13202834123531348
chr1	50000	52000	chr1	94000	96000	0.1095853194394065
chr1	80000	82000	chr1	94000	96000	0.16298088862156285
chr1	80000	82000	chr1	126000	128000	0.27162177164310974
chr1	94000	96000	chr1	126000	128000	0.2697446725201774
chr1	94000	96000	chr1	134000	136000	0.3056262634071396
chr1	126000	128000	chr1	164000	166000	-0.25474319241337473
chr1	134000	136000	chr1	164000	166000	-0.2940426823889818
chr1	164000	166000	chr1	204000	206000	-0.05352363849262197
chr1	164000	166000	chr1	208000	210000	-0.062154562051697254
chr1	164000	166000	chr1	210000	212000	-0.0789791951123393
chr1	204000	206000	chr1	226000	228000	
chr1	204000	206000	chr1	228000	230000	
chr1	208000	210000	chr1	226000	228000	
chr1	208000	210000	chr1	228000	230000	
chr1	210000	212000	chr1	226000	228000	
chr1	210000	212000	chr1	228000	230000	
chr2	8000	10000	chr2	34000	36000	
chr2	8000	10000	chr2	46000	48000	
chr2	8000	10000	chr2	50000	52000	
chr2	34000	36000	chr2	46000	48000	-0.3465517861849646
chr2	34000	36000	chr2	50000	52000	-0.3910342849672654
chr2	34000	36000	chr2	66000	68000	-0.12714742157461975
chr2	34000	36000	chr2	78000	80000	-0.07028874956972242
chr2	34000	36000	chr2	80000	82000	-0.05180827165447647
chr2	46000	48000	chr2	66000	68000	0.1703313028516777
chr2	46000	48000	chr2	78000	80000	0.2045999794113766
chr2	46000	48000	chr2	80000	82000	0.2042312585434029
chr2	46000	48000	chr2	92000	94000	0.025114951161611672
chr2	50000	52000	chr2	66000	68000	0.22706975778229357
chr2	50000	52000	chr2	78000	80000	0.3727346234690544
chr2	50000	52000	chr2	80000	82000	0.32413516184335134
chr2	50000	52000	chr2	92000	94000	-0.04269276727509252
chr2	66000	68000	chr2	78000	80000	0.2694611248272465
chr2	66000	68000	chr2	80000	82000	0.28681760389664723
chr2	66000	68000	chr2	92000	94000	-0.12297605756839822
chr2	66000	68000	chr2	104000	106000	0.03408779758678909
chr2	78000	80000	chr2	92000	94000	-0.3778521335387903
chr2	78000	80000	chr2	104000	106000	-0.1468840018506297
chr2	78000	80000	chr2	118000	120000	-0.10180966919558102
chr2	80000	82000	chr2	92000	94000	-0.41926845222428566
chr2	80000	82000	chr2	104000	106000	-0.17444765255117534
chr2	80000	82000	chr2	118000	120000	-0.08440862037307931
chr2	92000	94000	chr2	104000	106000	0.331511405188141
chr2	92000	94000	chr2	118000	120000	0.18501905056987006
chr2	104000	106000	chr2	118000	120000	-0.1427919473715869
chr2	104000	106000	chr2	150000	152000	-0.12688046023542143
